State,Vata,Population
bodybuild_size,21.91953382,52.00123175
bodyframe_breadth,8.473127509,53.03080866
bodyframe_length,51.12188503,47.11916698
bodyhair_color,43.37276637,49.5393245
chest_breadth,31.90080225,50.62319963
eye_color,48.08918133,50.42983154
eye_size,50,37.14178408
eye_symmetry,6.406355059,6.157988703
eyebrow_size,25.41379429,24.22577933
eyelash_size,47.45234661,28.94122909
face_size,43.78581966,36.1671832
nails_color,47.45234661,52.93033142
nails_length,41.24948522,37.80672919
palate_color,20.11241674,10.45668669
palms_color,44.84952139,53.04781941
scalphair_color,52.9986966,50.21663298
skin_mole,27.09943767,37.14178408
skin_pimple,44.71693852,45.86794577
skin_wrinkled,51.20626072,36.78337194